Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Aari-Gayil,"Aari, Gayil",aiz,"aiw, gyl",aari1238,"aari1239, gayi1237"
Aari,,aiw,,aari1239,
Aariya,,aay,,aari1240,
Aasax,,aas,,aasa1238,
Ababuan,"Bali-Beeke, Old Bomokandian",,,abab1240,"bali1286, oldb1234"
Abadi,,kbt,,abad1241,
Abaga,,abg,,abag1245,
Abai Sungai,,abf,,abai1240,
Abai Tubu-Abai Sembuak,,,,abai1241,
Abanyom,,abm,,aban1242,
Abanyom-Nkem-Nkum,"Abanyom, Nkem-Nkum",,"abm, isi",aban1245,"aban1242, nkem1242"
Mungbam,"Missong, Mungba, Abar, Biya, Munken, Ngun",mij,,abar1238,"miss1255, mung1275, abar1239, biya1235, munk1244, ngun1279"
Abau,,aau,,abau1245,
Abaza,"Ashkaraua, Bezshagh, Tapanta",abq,,abaz1241,"ashk1247, bezs1238, tapa1256"
Abé,"Abbey-Ve, Kos, Morie, Tioffo",aba,,abee1242,"abbe1238, koss1238, mori1266, tiof1238"
Abellen-Botolan,"Abenlen Ayta, Botolan Sambal",,"abp, sbl",abel1234,"aben1249, boto1242"
Abenlen Ayta,,abp,,aben1249,
Abenaki,"Eastern Abenaki, Western Abenaki",,"aaq, abe",aben1250,"east2544, west2630"
Abidji,"Enyembe, Ogbru",abi,,abid1235,"enye1238, ogbr1242"
Abinomn,,bsa,,abin1243,
Abipon,,axb,,abip1241,
Aewa,,ash,,abis1238,
Abkhaz-Adyge,"Abkhaz-Abaza, Circassian, Ubykh",,uby,abkh1242,"abkh1243, circ1239, ubyk1235"
Abkhaz-Abaza,"Abaza, Abkhaz",,"abq, abk",abkh1243,"abaz1241, abkh1244"
Abkhaz,"Abzhui, Bzyb, Samurzakan",abk,,abkh1244,"abzh1238, bzyb1238, samu1242"
Abo-Barombi,"Bankon, Barombi",,"abb, bbi",abob1234,"bank1256, baro1252"
Abom,,aob,,abom1238,
Abon,,abo,,abon1238,
Abron,,abr,,abro1238,
Abua-Odual,"Abua, Obulom-Ochichi, Odual",,"abn, obu, odu",abua1243,"abua1244, obul1239, odua1238"
Abua,"Central Abuan, Emughan, Okpeden, Otapha",abn,,abua1244,"cent2029, emug1238, okpe1247, otap1238"
Abu' Arapesh,,aah,,abua1245,
Abui,"Alakaman, Atimelang, Kobola, Papuna",abz,,abui1241,"alak1254, atim1239, kobo1247, papu1257"
Abuic,"Abui, Kamang",,"abz, woi",abui1242,"abui1241, kama1365"
Abun,"Abun Je, Abun Tat, Abun Ji",kgr,,abun1252,"abun1253, abun1254, abun1255"
Abure,,abu,,abur1243,
Abureni,,mgj,,abur1244,
Abu,"Auwa, Nuclear Abu, Sabu (Papua New Guinea)",ado,,abuu1241,"auwa1242, nucl1640, sabu1256"
Acatepec Me'phaa,"Acatepec, Platanillo, Zapotitlán Tablas",tpx,,acat1239,"acat1240, plat1255, zapo1435"
Longchuan Achang,"Longchuan, Maingtha, Xiandao",acn,xia,acha1249,"long1373, main1270, xian1249"
Achagua,,aca,,acha1250,
Achangic,"Longchuan Achang, Lianghe Achang, Luxi Achang, Ngochang",,acn,acha1252,"acha1249, lian1258, luxi1238, ngoc1235"
Ache,,yif,,ache1244,
Acheron,"Eastern Acheron, Western Acheron",acz,,ache1245,"east2430, west2504"
Aché,,guq,,ache1246,
Acheron-Tocho,"Acheron, Tocho",,"acz, taz",ache1247,"ache1245, toch1257"
Achi,,acr,,achi1256,
Acehnese,"Banda Aceh, Baruh, Bueng, Daja (Indonesia), Pase, Pidie, Tunong",ace,,achi1257,"band1356, baru1270, buen1246, daja1241, pase1241, pidi1241, tuno1237"
"Achi', Cubulco",,acc,,achi1258,
Achumawi,,acv,,achu1247,
Achuar-Shiwiar,"Achuar, Shiwiar",acu,,achu1248,"achu1249, shiw1235"
Acoli,"Dhopaluo, Labwor, Nyakwai",ach,lth,acol1236,"dhop1238, labw1238, nyak1263"
Acroá,,acs,,acro1239,
Adabe,,adb,,adab1235,
Adai,,xad,,adai1235,
Adamorobe Sign Language,,ads,,adam1238,
Adamawa Fulfulde,"Bilkire Fulani, Garoua, Kambariire, Maroua Fulfulde, Ngaondéré, Nomadic Fulfulde",fub,,adam1253,"bilk1238, garo1248, kamb1295, maro1243, ngao1243, noma1259"
Adamawa Fali,"North Fali, South Fali",,"fll, fal",adam1254,"nort2770, sout2782"
Adamawa Bua,"Riverine Bua, Inland Bua",,,adam1257,"buan1246, goul1243"
Adamawa-Bagirmi Fulfulde,"Adamawa Fulfulde, Bagirmi Fulfulde",,"fub, fui",adam1260,"adam1253, bagi1244"
Adangme,"Ada, Gbugbla, Krobo, Ningo, Osu, Shai",ada,,adan1247,"adaa1238, gbug1238, krob1243, ning1270, osuu1238, shai1238"
Adangbe,,adq,,adan1248,
Adang,Aimoli,adn,,adan1251,aimo1245
West Alor,"Adang, Hamap, Kabola",,"adn, hmu, klz",adan1252,"adan1251, hama1240, kabo1247"
Adap,,adp,,adap1234,
Adasen,"Eastern Addasen, Western Addasen",tiu,,adas1235,"east2476, west2551"
Adele,"Lower Adele, Upper Adele",ade,,adel1244,"lowe1404, uppe1417"
Adhari,,,,adha1238,
Adhola-Alur-Luo,"Adhola-Luo, Alur",,alz,adho1241,"adho1242, alur1250"
Adhola-Luo,"Adhola, Luo (Kenya and Tanzania)",,"adh, luo",adho1242,"adho1243, luok1236"
Adhola,,adh,,adho1243,
Adioukrou,,adj,,adio1239,
Kotia-Adivasi Oriya-Desiya,,ort,,adiv1239,
Adiwasi Garasia,,gas,,adiw1235,
Admiralty Islands,"Eastern Admiralty Islands, Western Admiralty Islands",,,admi1239,"east2459, west2532"
Adnyamathanha,,adt,,adny1235,
Adonara,"Botun, East Solor, Lamakera, Watan, East Adonara, Dulhi, Kiwangona, West Adonara, Horowura, Waiwadan",adr,,adon1237,"botu1239, east2469, lama1298, wata1254, east2470, dulh1234, kiwa1252, west2544, horo1249, waiw1246"
Aduge,,adu,,adug1238,
Adurgari,,,,adur1234,
West Circassian,"Abadzex, Bezhedukh, Natuzaj, Shapsug, Temirgoi, Xakuchi",ady,,adyg1241,"abad1240, bezh1247, natu1243, shap1240, temi1249, xaku1238"
Adzera,,adz,,adze1240,
Adzera (Retired),,azr,,adze1241,
Aeka,,aez,,aeka1244,
Aekyom,"East Awin, North Awin, South Awin",awi,,aeky1238,"east2522, nort2932, sout2952"
Aer,"Jamesabad Aer, Jikrio Goth Aer",aeq,,aerr1238,"jame1238, jikr1238"
Afade,,aal,,afad1236,
Afar,"Aussa, Baadu, Central Afar, Northern Afar",aar,,afar1241,"auss1240, baad1239, cent2192, nort3052"
Afenmai-Bendel,"Ghotuo, Uneme-Yekhee",,aaa,afen1234,"ghot1243, unem1239"
Afghan Sign Language,,afg,,afgh1239,
Afghanistan Gorbat,,,,afgh1240,
Afitti,,aft,,afit1238,
Afrikaansic,"Afrikaans, Oorlams",,"afr, oor",afri1273,"afri1274, oorl1238"
Afrikaans,"Cape Afrikaans, East Cape Afrikaans, Orange River Afrikaans",afr,,afri1274,"cape1241, east2693, oran1263"
Afrihili,,afh,,afri1275,
Afro-Seminole Creole,,afs,,afro1254,
Afro-Asiatic,"Berber, Chadic, Cushitic, Egyptian, Semitic",,,afro1255,"berb1260, chad1250, cush1243, egyp1245, semi1276"
Afudu,,,,afud1235,
Agariya,,agi,,agar1251,
Agarabi,,agd,,agar1252,
Agatu,,agc,,agat1236,
Agavotaguerra,,avo,,agav1236,
Agbirigba,,,,agbi1234,
Aghem,,agq,,aghe1239,
Aghemic,"Aghem-Weh, Isu (Menchum Division), Zhoa",,"isu, zhw",aghe1240,"aghe1241, isum1240, zhoa1238"
Aghem-Weh,"Aghem, Weh",,"agq, weh",aghe1241,"aghe1239, wehh1238"
Aghul,"Central Agul, Cirxe, Fite, Gequn, Huppuq, Keren",agx,,aghu1253,"agul1244, cirx1234, fite1234, gekx1238, hupp1234, kere1281"
Aghu Tharnggalu,,ggr,,aghu1254,
Aghu,,ahh,,aghu1255,
Aghu Tharnggalu (Retired),,gtu,,aghu1256,
Aghul-Lezgi,"Aghulic, Lezgian",,lez,aghu1259,"aghu1260, lezg1247"
Aghulic,"Aghul, Qushan Aghul",,agx,aghu1260,"aghu1253, kosh1245"
Aghwan,,xag,,aghw1237,
Agi,,aif,,agii1245,
Agi-Yeri,"Agi, Yeri",,"aif, yev",agiy1234,"agii1245, yapu1240"
Agneby,"Abé, Abidji, Adioukrou",,"aba, abi, adj",agne1238,"abee1242, abid1235, adio1239"
Agoan,"Abu, Gorovu",,"ado, grq",agoa1234,"abuu1241, goro1261"
Agob-Ende-Kawam,"Agöb, Ende (Papua New Guinea), Kawam",kit,,agob1244,"agob1245, ende1235, kawa1281"
Agoi-Doko-Iyoniyong,"Robambami, Iyongiyong, Deko-Dusanga",,"ibm, bbs, uya",agoi1245,"agoi1246, bakp1238, doko1243"
Robambami,"Agoi-Efom, Agoi-Ibami",ibm,,agoi1246,"agoi1247, ikoo1244"
Agta-Pahanan,,apf,,agta1234,
Aguano,,aga,,agua1251,
Aguacateco,,agu,,agua1252,
Aguaruna,,agr,,agua1253,
Aguna,,aug,,agun1238,
Agusan Manobo,"Adgawan, Surigao Manobo, Umayam",msm,,agus1235,"adga1237, suri1270, umay1237"
Agutaynen,,agn,,agut1237,
Agwagwune,"Abayongo, Abini, Adim, Erei, Etono II, Nuclear Agwagwune, Orum",yay,,agwa1247,"abay1238, abin1242, adim1238, erei1238, eton1252, nucl1375, orum1242"
Ahanta,,aha,,ahan1243,
Àhàn,,ahn,,ahan1244,
Ahe,,ahe,,ahea1240,
Aheri Gondi,"Bhamragarh, Etapally Gondi, Sironcha",esg,,aher1237,"bham1239, etap1239, siro1248"
Thavung,,thm,,aheu1239,
Ahin-Kayapa Kalanguya,"Kayapa Kallahan, Tinoc Kallahan",kak,tne,ahin1234,"kaya1320, tino1235"
Ahirani,,ahr,,ahir1243,
AHK,"Aari-Gayil, Hamer-Karo",,aiz,ahkk1235,"aari1238, hame1241"
Ahom,,aho,,ahom1240,
Ahouic,"A'ou, Red Gelao",,"aou, gir",ahou1236,"aoua1234, redg1235"
Ahtena,"Mentasta, Nuclear Ahtna, Central Copper River Ahtna, Lower Copper River Ahtna, Western Ahtna",aht,,ahte1237,"ment1252, nucl1792, cent2373, lowe1450, west2953"
Ndunic,,nfd,,ahwa1235,
Aian,"Aiome, Anor",,"aki, anj",aian1241,"aiom1240, anor1241"
Ai-Cham,"Boyao, Di'e",aih,,aich1238,"boya1241, diee1238"
Aighon,"Aigon, Apsokok, Bao",aix,,aigh1235,"aigo1239, apso1237, baoo1237"
Aikanã,Masaká,tba,,aika1237,masa1312
Aiklep,,mwg,,aikl1237,
Aiku,,mzf,,aiku1240,
Aimaq,"Chinghizi, Firozkohi, Jamshidi, Maliki, Mizmast, Taimuri, Taimani, Teimuri, Zainal, Zohri",aiq,,aima1241,"chin1474, firo1239, jams1238, mali1277, mizm1238, taim1248, taim1249, teim1238, zain1238, zohr1238"
Aimele,,ail,,aime1238,
Aimol,"Khurai, Sutpong",aim,,aimo1244,"khur1238, sutp1234"
Ainbai,,aic,,ainb1238,
Hokkaido Ainu,"Hokkaido, Taraika",ain,,ainu1240,"hokk1243, tara1248"
Ainu (China),"East-Central Ejnu, West Ejnu",aib,,ainu1251,"east2907, west3009"
Ainu,"Hokkaido-Kuril Ainu, Sakhalin Ainu",,,ainu1252,"hokk1250, sakh1245"
Aiome,,aki,,aiom1240,
Airoran,,air,,airo1242,
Aisian,"Magi, Aisi",,"gkd, mmq",aisi1234,"magi1243, musa1266"
Aiton,,aio,,aito1238,
Aizi,"Mobumrin Aizi, Tiagbamrin Aizi",,"ahm, ahi",aizi1248,"mobu1235, tiag1235"
Aja (Benin),"Dogbo, Hwe, Sikpi, Tado (Benin)",ajg,,ajab1235,"dogb1238, hwee1238, sikp1238, tado1245"
Aja (South Sudan),,aja,,ajas1235,
Ajawa,,ajw,,ajaw1236,
Ajië,,aji,,ajie1238,
Ajyíninka Apurucayali,,cpc,,ajyi1238,
Aka,,soh,,akaa1242,
Akabo,,akm,,akab1248,
Akabea,,abj,,akab1249,
Akacari,,aci,,akac1240,
Akajeru,Mixed Great Andamanese,akj,gac,akaj1239,mixe1288
Akakora,,ack,,akak1251,
Akakede,,akx,,akak1252,
Akakol,,aky,,akak1253,
Aka-Kelo-Molo,"Aka, Kelo, Molo",,"soh, xel, zmo",akak1254,"akaa1242, kelo1246, molo1257"
Akan,"Agona, Ahafo, Akyem Bosome, Asen, Dankyira, Fante, Kwawu, Twi, Akuapem, Asante",aka,"fat, twi",akan1250,"agon1238, ahaf1238, akye1239, asen1242, dank1238, fant1241, kwaw1238, twii1234, akua1239, asan1239"
Akanic,"Abron, Akan, Wasa",,"abr, aka, wss",akan1251,"abro1238, akan1250, wasa1244"
Akarbale,,acl,,akar1243,
Akaselem,,aks,,akas1242,
Akawaio-Ingariko,"Akawaio, Ingariko",ake,,akaw1239,"akaw1241, inga1250"
Akebu,,keu,,akeb1238,
Akye,,aik,,akee1238,
Akei,,tsr,,akei1237,
Akeleic,"Kélé, Ngom, Tombidi",,"keb, nra",akel1234,"kele1257, ngom1270, tomb1246"
Akeu,,aeu,,akeu1235,
Akha,"Ako, Asong",ahk,,akha1245,"akoo1247, ason1245"
Akhaic,"Akeu, Akha, Chepya, Muda",,"aeu, ahk, ycp, ymd",akha1246,"akeu1235, akha1245, chep1243, muda1235"
Northern Akhvakh,"Axaxdərə Akhvakh, Tsunta Akhvakh",akv,,akhv1239,"axax1234, nort3330"
Akhvakhic,"Northern Akhvakh, Southern Akhvakh",,akv,akhv1240,"akhv1239, sout3319"
Akkala Saami,,sia,,akka1237,
Akkadian,"Assyrian, Middle Assyrian, Neo-Assyrian, Old Assyrian, Diyala-Babylonian, Early Babylonian, Late Babylonian, Middle Babylonian, Neo-Babylonian, Old Babylonian, Old Akkadian",akk,,akka1240,"assy1242, midd1371, neoa1235, olda1248, diya1235, earl1248, late1257, midd1370, neob1234, oldb1249, olda1247"
Ak,,akq,,akkk1240,
Aklanon,"Kailibo Aklanon, Alcantara Aklanon, Buruanga Aklanon, Malay Aklanon",akl,mlz,akla1240,"akla1241, alca1238, buru1327, mala1491"
Akolet,,akt,,akol1237,
Akoose,"Elung, Mwamenam, Mwambong, Ninong, Northern Bakossi, Southern Bakossi, Western Bakossi",bss,,akoo1248,"elun1242, mwam1245, mwam1246, nino1238, nort2803, sout2818, west2478"
Akoye,,miw,,akoy1238,
Akpa,,akf,,akpa1238,
Akpes,"Akunnu, Ase, Daja, Efifa, Esuku, Gedegede, Ibaram, Ikorom, Iyani",ibe,,akpe1248,"akun1239, asee1238, daja1240, efif1238, esuk1238, gede1241, ibar1241, ikor1238, iyan1238"
Akpes-Edoid,"Akpes, Edoid",,ibe,akpe1249,"akpe1248, edoi1239"
Akpondu,,,,akpo1243,
Chini,,afi,,akru1241,
Akuku,,ayk,,akuk1235,
Akum,,aku,,akum1238,
Akum-Beezen,"Akum, Beezen-Baazem",,aku,akum1239,"akum1238, beez1239"
Akuntsu,,aqz,,akun1241,
Corumbiara,"Akuntsu, Mekens",,"aqz, skf",akun1243,"akun1241, saki1248"
Akurio,,ako,,akur1238,
Akwa,,akw,,akwa1248,
Akyaung Ari Naga,,nqy,,akya1234,
Alabama,,akz,,alab1237,
Alabat Island Agta,,dul,,alab1246,
Alabaman-Koasati,"Alabama, Apalachee, Koasati",,"akz, xap, cku",alab1247,"alab1237, apal1237, koas1236"
Alaba-K'abeena,,alw,,alab1254,
Alabat-Manide Agta,"Alabat Island Agta, Camarines Norte Agta",,"dul, abd",alab1255,"alab1246, cama1250"
Alacalufe-Austral,,,,alac1239,
Alacalufe-Central,,,,alac1240,
Alacatlatzala Mixtec,"Atlamajalcingo del Monte, Cuatzoquitengo, Plan de Guadalupe, Potoichan, Tototepec",mim,,alac1244,"atla1271, cuat1239, plan1238, poto1253, toto1307"
Alago,"Agwatashi, Assaikio, Doma, Keana",ala,,alag1242,"agwa1246, assa1267, doma1261, kean1238"
Alagwa,,wbj,,alag1248,
Alaguilac,,,,alag1249,
Alak,,alk,,alak1253,
Alamblak,"Karawari, Kuvenmas",amp,,alam1246,"kara1494, kuve1239"
Alangan,,alj,,alan1249,
Alapmunte,,apv,,alap1235,
Alawa,,alh,,alaw1244,
Alaya-Athima,"Central Alaya-Athima, Southwestern Alaya-Athima, Thaypanic",,,alay1234,"cent2337, kunj1248, thay1250"
Albanian,"Albanian-Tosk, Gheg Albanian",sqi,aln,alba1267,"alba1268, gheg1238"
Albanian-Tosk,"Southern Tosk, Northern Tosk Albanian",,als,alba1268,"sout3378, tosk1239"
Inland-Buhi-Daraga Bikol,"Buhi, Daraga, Libon, Ligao, Oas",bhk,"ubl, rbl, lbl, fbl",alba1269,"buhi1243, dara1251, libo1242, liga1237, oass1237"
Albanian Sign Language,,sqk,,alba1271,
Albatross Bay,"Anguthimri-Yangathimri-Yuputhimri, Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit",,,alba1272,"angu1243, tyan1235"
Albarradas Sign Language,,lsc,,alba1273,
Alcozauca Mixtec,"Petlacalancingo Mixtec, Xochapa Mixtec",xta,,alco1235,"petl1238, xoch1238"
Alege,,alf,,aleg1238,
Alekano,,gah,,alek1238,
Alemannic,"North Alemannic, South Alemannic",,,alem1243,"nort3310, sout3294"
Aleut,"Eastern Aleut, Western Aleut",ale,,aleu1260,"east2533, west2616"
Aleutic,"Aleut, Mednyj Aleut",,"ale, mud",aleu1261,"aleu1260, medn1235"
Algerian Sign Language,,asp,,alge1235,
Algerian Arabic,"Algiers, Constantine, Oran",arq,,alge1239,"algi1247, cons1245, oran1236"
Algerian Saharan Arabic,,aao,,alge1240,
Algic,"Algonquian-Blackfoot, Wiyot, Yurok",,"wiy, yur",algi1248,"algo1256, wiyo1248, yuro1248"
Algonquin,"Nipissing, Northern Algonquin",alq,,algo1255,"mini1254, nort3290"
Algonquian-Blackfoot,"Algonquian, Siksika",,bla,algo1256,"algo1257, siks1238"
Algonquian,"Arapahoic, Cheyenne, Cree-Montagnais-Naskapi, Eastern Algonquian, Eastern Great Lakes Algonquian, Menominee",,"chy, mez",algo1257,"arap1273, chey1247, cree1271, east2700, east2765, meno1252"
Ali,,aiy,,alii1240,
Alipur Sign Language,,,,alip1234,
Ali-Tumleo,"Kap, Tumleo",,"ykm, tmq",alit1234,"kapp1237, tuml1238"
Allar,,all,,alla1247,
Alladian,,ald,,alla1248,
Allentiac,,,,alle1238,
Alngith,,aid,,alng1239,
Aloápam Zapotec,,zaq,,aloa1235,
Alo Phola,,ypo,,alop1235,
Alorese,,aol,,alor1247,
Alor-Pantar,"East Alor, Nuclear Alor-Pantar",,,alor1249,"kola1286, nucl1821"
Central Alor,"Abuic, Kui (Indonesia)",,kvd,alor1250,"abui1242, kuii1253"
Al-Sayyid Bedouin Sign Language,,syy,,alsa1242,
Alsea-Yaquina,"Alsea, Yaquina",aes,,alse1251,"alse1252, yaqu1250"
Alto Orinoco,"Maipure-Avane, Parenic",,,alto1249,"maip1247, pare1275"
Medio Rio Negro,"Bareic, Marauia-Castana",,,alto1250,"bare1282, mara1421"
Altsächsisch,"Middle-Modern Low German, Old Saxon",,osx,alts1234,"midd1345, olds1250"
Alugu,,aub,,alug1235,
Alu Kurumba,,xua,,aluk1238,
Arum,"Alumu, Tesu",aab,,alum1246,"alum1247, tesu1244"
Alumic,"Alumu-Toro, Jilic-Eggonic",,,alum1249,"alum1250, jili1242"
Alumu-Toro,"Alumu-Akpondu, Hasha-Sambe, Toro",,tdv,alum1250,"alum1251, hash1239, toro1249"
Alumu-Akpondu,"Akpondu, Arum",,aab,alum1251,"akpo1243, alum1246"
Alune,"Central East Alune, Central West Alune, Kairatu, North Coastal Alune, South Alune",alp,,alun1238,"cent2077, cent2078, kair1264, nort2866, sout2893"
Aluo,,yna,,aluo1235,
Alur,"Jokot, Jonam, Mambisa, Wanyoro",alz,,alur1250,"joko1238, jona1239, mamb1303, wany1245"
Alutor,"Alutorskij, Karaginskij, Palanskij",alr,,alut1245,"alut1246, kara1472, pala1340"
Alviri-Vidari,"Alvir, Vidar",avd,,alvi1241,"alvi1242, vida1238"
Alyawarr,,aly,,alya1239,
Amahai,"Makariki, Rutah, Soahuku",amq,,amah1245,"maka1308, ruta1241, soah1237"
Amahuaca,"Inuvaken, Viwivakeu",amc,,amah1246,"inuv1238, viwi1238"
Amaimon,,ali,,amai1246,
Amal,,aad,,amal1242,
Amalumute,"Northwest Seram, Yalahatan-Haruru-Awaiya",,jal,amal1243,"nort3221, yala1266"
Amami,"Kikai, Nuclear Amami, Yoron",,"kzg, yox",amam1245,"kika1239, nucl1644, yoro1243"
Amam,,,,amam1246,
Amami O Shima Sign Language,,jks,,amam1247,
Amanab,,amn,,aman1265,
Amanayé,,ama,,aman1266,
Ama (Papua New Guinea),,amm,,amap1240,
Amapá Creole,,amd,,amap1241,
Amurdak,,amg,,amar1271,
Amara,,aie,,amar1272,
Amarasi,"Amabi, Kotos, Ro'is, Ro'is Tais Nonof, Ro'is Hero",aaz,,amar1273,"amab1234, koto1251, rois1241, rois1242, rois1243"
Amarakaeri,"Arakmbut, Kisambaeri",amr,,amar1274,"arak1258, kisa1267"
Ama (Sudan),,nyi,,amas1236,
Amatlán Zapotec,,zpo,,amat1238,
Amatecano,"Amatlán Zapotec, Tlacolulita Zapotec",,"zpo, zpk",amat1239,"amat1238, tlac1240"
Amba (Uganda),"Kigumu, Kyanzi, Suwa",rwm,,amba1263,"kigu1238, kyan1239, suwa1240"
Ambai,"Manawi, Nuclear Ambai, Randawaya",amk,,amba1265,"mana1293, nucl1466, rand1239"
Amba (Solomon Islands),,utp,,amba1266,
Ambala Ayta,,abc,,amba1267,
Ambakich,"Northern Ambakich, Southern Ambakich",aew,,amba1269,"nort2931, sout2951"
Ambae,"East Ambae, West Ambae",,"omb, nnd",amba1270,"east2443, west2513"
Ambermo,,,,ambe1246,
Ambele,,ael,,ambe1247,
Ambelau,,amv,,ambe1248,
Ambel-Biga,"Biga, Waigeo",,"bhc, wgo",ambe1249,"biga1238, waig1244"
Amblong,,alm,,ambl1237,
Ambo,,amb,,ambo1249,
Ambonese Malay,"Ambon Malay, Dobo Malay, Melayu Sini",abs,,ambo1250,"ambo1255, dobo1244, mela1259"
Ambo-Pasco Quechua,,qva,,ambo1252,
Ambonic Malay,"Ambonese Malay, Banda Malay",,"abs, bpq",ambo1253,"ambo1250, band1353"
Ambonic,"Central Ambon, Northeast Ambon",,,ambo1254,"cent2289, nort3236"
Ambrak,,aag,,ambr1239,
Ambrym,"Lonwolwol, North Ambrym, Orkon-West Ambrym, Southeast Ambrym",,"crc, mmg, tvk",ambr1240,"lonw1238, nort2839, port1292, sout2859"
Ambulas-Hanga-Hundi,"Ambulas, Hanga Hundi",,"abt, wos",ambu1246,"ambu1247, hang1263"
Ambulas,"Maprik, Wingei, Wosera-Mamu, Wosera-Kamu",abt,,ambu1247,"mapr1240, wing1239, wose1243, wose1244"
Amdang,,amj,,amda1238,
Amdo Tibetan,"Conservative Amdo Nomad, Eastern Qinghai Amdo, Chabcha, Rebkong, Rtsekhog, North Eastern Qinghai Amdo, Arik, Mkharmar, Rkangtsha, Themchen, Northern Sichuan Amdo, Rngaba, Rmagsar, Sertha/Golok, Labrang, Innovative Amdo Farmer, Mdzorganrabar, Rmastod, Ngawa, Ndzorge, Ngakhok, Conservative Amdo Farmer, Huang-chung-hsien, Padma, Shando",adx,,amdo1237,"hbro1238, east2830, chab1239, rebk1234, rtse1234, nort3304, arik1266, mkha1234, rkan1234, them1242, nort3305, abaa1238, rmag1234, sert1234, rong1261, inno1234, mdzo1234, rmas1234, ngaw1241, ndzo1234, ngak1234, rong1262, huan1253, padm1234, shan1295"
Amele,"Haija, Huar, Jagahala",aey,,amel1241,"haij1242, huar1254, jaga1247"
Ame-Manda,"Ami, Manda (Australia)",,"amy, zma",amem1235,"amii1238, mand1416"
American Sign Language,"American Sign Language in the USA, Burundi Sign Language",ase,lsb,amer1248,"amer1260, buru1325"
American Indian Pidgin English,,,,amer1255,
Amerax,,aex,,amer1256,
American Sign,"American Sign Language, Chadian Sign Language, Dominican Sign Language, Ghanaian Sign Language, Guyana Sign Language, Haitian Sign Language, Jamaican Sign Language, Nigerian Sign Language, Modern Trinidad and Tobago Sign Language",,"ase, cds, doq, gse, jls, nsi, lst",amer1258,"amer1248, chad1238, domi1236, ghan1235, guya1253, hait1245, jama1263, nige1240, trin1277"
Amganad Ifugao,"Banaue Ifugao, Burnay Ifugao",ifa,,amga1235,"bana1290, burn1237"
Amharic-Argobba,"Amharic, Argobba",,"amh, agj",amha1244,"amha1245, argo1244"
Amharic,"Addis Ababa, Gojjam Amharic, Gondar Amharic, Shoa Amharic, Wollo Amharic",amh,,amha1245,"addi1235, gojj1234, gond1266, shoa1235, woll1236"
Ami,,amy,,amii1238,
Amikoana,,akn,,amik1238,
Amis,"Central Amis, Northern Amis, Southern Amis, Tavalong-Vataan",ami,ais,amis1246,"cent2104, nata1254, sout2929, tava1241"
Mol,,alx,,amol1235,
Amoltepec Mixtec,,mbz,,amol1236,
Amondava-Uru-Eu-Wau-Wau,"Amundava, Uru-Eu-Wau-Wau",,"adw, urz",amon1240,"amun1246, urue1240"
Amo,,amo,,amoo1242,
Amorite,,,,amor1239,
Amotomanco,,,,amot1239,
Ampari Dogon,,aqd,,ampa1238,
Ampanang,,apg,,ampa1239,
Amri Karbi,"Lower Amri, Upper Amri",ajz,,amri1238,"lowe1466, uppe1486"
Amto-Musan,"Amto, Siawi",,"amt, mmp",amto1249,"amto1250, siaw1243"
Amto,,amt,,amto1250,
Amundava,,adw,,amun1246,
Amuzgo-Mixtecan,"Amuzgoan, Mixtecan",,,amuz1253,"amuz1254, mixt1422"
Amuzgoan,"Guerrero Amuzgo, Ipalapa Amuzgo, San Pedro Amuzgos Amuzgo",,"amu, azm, azg",amuz1254,"guer1243, ipal1235, sanp1260"
Anaang,"Abak, Ikot Ekpene, Ukanafun",anw,,anaa1238,"abak1242, ikot1238, ukan1238"
Ana,"//Gana, /Gwi",,"gnk, gwj",anaa1239,"gana1274, gwii1239"
Anakalangu,,akg,,anak1240,
Anal,"Laizo, Mulsom",anm,,anal1239,"laiz1241, muls1238"
Anal-Lamgang,"Anal, Lamkang",,"anm, lmk",anal1240,"anal1239, lamk1238"
Anam,,pda,,anam1247,
Anamuxra,,imi,,anam1248,
Anambé,,aan,,anam1249,
Anamuxric,"Anamuxra, Moresada",,"imi, msx",anam1250,"anam1248, more1258"
Anasi,,bpo,,anas1239,
Ana Tinga Dogon,,dti,,anat1248,
Anatolian,"Hittite, Luvo-Lydian",,hit,anat1257,"hitt1242, luvo1234"
Anauyá,,,,anau1243,
Áncá,,acb,,anca1236,
Anchorite,"Kaniet, Kaniet-Dempwolff",,ktk,anch1239,"kani1282, kani1283"
Ionic-Attic Ancient Greek,"Attic, Central Ionic, Eastern Ionic, Western Ionic",grc,,anci1242,"atti1240, cent2405, ioni1244, west2996"
Ancient Hebrew,"Ammonite, Biblical Hebrew, Edomite, Moabite",hbo,"qgg, xdm, obm",anci1244,"ammo1234, bibl1238, edom1234, moab1234"
Ancient North Arabian,"Dadanitic, Dumaitic, Hasaitic, Hismaic, Safaitic, Taymanitic",xna,,anci1245,"dada1236, duma1255, hasa1249, hism1236, safa1245, taym1240"
Ancient Ligurian,,xlg,,anci1248,
Ancient North Greek,"Aeolic, West Ancient Greek, Doric, Northwestern Ancient Greek",,,anci1249,"aeol1234, west2995, dori1248, nort3269"
Andaman Creole Hindi,,hca,,anda1280,
