Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Esperanto,,epo,,espe1235,
Esperantic,"Esperanto, Ido",,"epo, ido",espe1236,"espe1235, idoo1234"
Espiritu Santo,"Nuclear Santo, West Santo",,,espi1234,"nucl1793, west2956"
Esselen,,esq,,esse1238,
Estado de México Otomi,San Felipe Santiago Otomí,ots,,esta1236,sanf1263
Estonian Sign Language,,eso,,esto1238,
Estonian,"Middle Estonian, Ida Estonian, Kesk Estonian, Lääne, Saarte, North Estonian",ekk,,esto1258,"midd1322, idae1234, kesk1234, laan1234, sart1250, nort2674"
Estonian Swedish,,,,esto1259,
Esuma,,esm,,esum1241,
Etebi,,etb,,eteb1238,
Eten,,etx,,eten1239,
Eteocretan,,ecr,,eteo1236,
Eteocypriot,,ecy,,eteo1240,
Ethiopian Sign Language,"Addis Ababa Ethiopian Sign Language, Hosaena Ethiopian Sign Language",eth,,ethi1238,"addi1234, hosa1234"
Ethiosemitic,"Geez, South Ethiopic, Tigrinya, Tigre-Dahalik",,"gez, tir",ethi1244,"geez1241, sout3078, tigr1271, tigr1277"
Etkywan,,ich,,etky1238,
Eton-Mengisa,"Iton Ngke, Iton Ekwe, Mengisa",eto,mct,eton1253,"iton1251, iton1252, meng1263"
Eton (Vanuatu),"Eton, Pang Pang",etn,,eton1255,"eton1256, pang1289"
Etoro-Bedamini,"Beami, Edolo",,"beo, etr",etor1234,"beam1240, edol1239"
Etp-Ti Kalam,"Kalam, Tai",,"kmh, taw",etpt1234,"kala1397, taii1241"
Etruscan,,ett,,etru1241,
Akweya,"Etulo-Idoma, Igede",,ige,etul1244,"etul1246, iged1239"
Etulo,,utr,,etul1245,
Etulo-Idoma,"Etulo, Nuclear Idoma",,utr,etul1246,"etul1245, nucl1732"
Eudeve,,eud,,eude1234,
Europanto,,eur,,euro1250,
Evant,,bzz,,evan1238,
Evapia,"Dumpu, Kesawai-Sausi, Kou",,"wtf, snz",evap1240,"dump1243, kesa1245, sins1241"
Evenki,"Manchurian Evenki, Aoluguya, Borzya Khamnigan Evenki, Urulyungui Khamnigan Evenki, Solon, Amur basin Solon, Hulun Buir Solon, Morigele, Nonni basin Solon, Ongkor Solon, Siberian Evenki, Eastern Evenki, Bareya-Amgun', Barguzin Evenki, Chul'man-Gilyui, Sakhalin Evenki, Uchur-Zeya, Vitim-Olyokma, Northern Evenki, Ilimpeya, Yerbogachon, Southern Evenki, Hissing Evenki, Hushing Evenki",evn,,even1259,"manc1253, aolu1238, chen1257, hail1248, solo1263, amur1244, huih1238, mori1265, nonn1235, ongk1234, sibe1251, east2846, bare1281, barg1253, chul1247, sakh1246, uchu1234, viti1244, nort3334, ilim1234, yerb1234, sout3321, hiss1234, hush1235"
Even,"Eastern Even, Berjozovka, Kamchatka, Kolyma-Omolon, Okhotsk, Ola, Sakkyryr, Upper Kolyma, Middle Even, Allaikha, Moma Even, Tompon, Western Even, Indigirka, Lamunkhin, Tjugasjir",eve,,even1260,"east2811, berj1234, kamc1242, koly1246, okho1239, olaa1239, sakk1240, uppe1414, midd1358, alla1250, moma1245, tomp1241, west2887, indi1257, lamu1253, tjug1234"
Viya,,gev,,eviy1235,
Ewage-Notu,"Nuclear Ewage-Notu, Yega",nou,,ewag1241,"nucl1606, yega1243"
Ewe,"Adan, Agu (Ewe), Anlo, Aveno, Be, Northwestern Gbe, Gbin (Ewe), Ho (Ghana), Kpelen, Vhlin, Togo (Ewe)",ewe,,ewee1241,"adan1249, aguu1242, angl1262, aven1238, beee1241, nort3331, gbin1238, hooo1250, kpel1251, vlin1238, togo1251"
Eweic,"Adangbe, Aguna, Ewe",,"adq, aug, ewe",ewei1234,"adan1248, agun1238, ewee1241"
Ewenic,"Arman, Even",,eve,ewen1234,"arma1243, even1260"
Ewondo,"Badjia, Bafeuk, Bamvele, Bane, Beti, Enoah, Evouzok, Fong, Mbida-Bani, Mvete, Mvog-Niengue, Omvang, Yabekanga, Yabeka, Yabekolo",ewo,,ewon1239,"badj1245, bafe1238, bamv1238, bane1246, beti1249, enoa1238, evou1238, fong1242, mbid1238, mvet1238, mvog1242, omva1238, yabe1251, yabe1252, yabe1253"
Ewondo Populaire,,,,ewon1240,
Ewondo-Bebele,"Bebele, Bebil, Ewondo",,"beb, bxp, ewo",ewon1241,"bebe1248, bebi1242, ewon1239"
Ewondo-based pidgin,Ewondo Populaire,,,ewon1242,ewon1240
Extended Ocotepec Zapotec,"Isthmus Zapotec, Ocotlán Zapotec, Tilquiapanic, Zaachila Zapotec",,"zai, zac, ztx",exte1234,"isth1244, ocot1244, tilq1236, zaac1239"
Extremaduran,"Central Extremaduran, Northern Extremaduran, Southern Extremaduran",ext,,extr1243,"cent1957, nort2604, sout2610"
Extreme Northern New Caledonian,"Kum-Nel-Yua-Cac, Nyalayu",,,extr1244,"kumn1236, nyal1256"
Extreme Southern New Caledonian,"Dumbea, Numee",,"duf, kdk",extr1245,"dumb1241, nume1242"
Extreme North Vestigial Suffixes Bantu,"Kari, Ngbee, Nyanga-li",,"kbj, jgb, nyc",extr1247,"kari1306, ngbe1238, nyan1303"
Extreme North Cameroon Sign Language,,,,extr1248,
Eyak,,eya,,eyak1241,
Annobonese,,fab,,fada1250,
Faeto and Celle San Vito Francoprovencal,"Celle San Vito, Faeto",,,faet1240,"cell1238, faet1239"
Fagani,"Agufi, Nuclear Fagani, Rihu'a",faf,,faga1239,"aguf1237, nucl1474, rihu1237"
Faifi,,fif,,faif1234,
Faire Atta,,azt,,fair1238,
Kulsab,,faj,,fait1240,
Faiwol,"Angkiyakmin, Faiwolmin, Wopkeimin",fai,,faiw1243,"angk1247, faiw1244, wopk1238"
Faiwol-Seltaman,"Faiwol, Setaman",,"fai, stm",faiw1245,"faiw1243, seta1246"
