iso_code,glottocode
bvs,belg1241
bvx,dibo1245
bvz,bauz1241
bwe,bwek1238
bwi,bani1255
bwr,bura1292
bwu,buli1254
bxj,bayu1240
bxm,mong1330
bya,bata1301
byn,bili1260
byr,baru1267
byw,belh1239
byx,qaqe1238
bzd,brib1243
bzf,boik1241
bzi,bisu1244
bzj,beli1260
bzq,buli1255
bzr,biri1256
bzs,braz1236
caa,chor1273
cac,chuj1250
cad,cadd1256
cag,niva1238
cal,caro1242
cam,cemu1238
can,cham1313
cap,chip1262
caq,carn1240
cas,mose1249
cav,cavi1250
cax,chiq1248
cay,cayu1261
cbc,cara1272
cbd,cari1279
cbg,chim1309
cbn,nyah1250
cbr,cash1251
cbs,cash1254
cbt,chay1248
cbu,cand1248
cbv,cacu1241
cco,coma1246
cdm,chep1245
cdo,mind1253
ceb,cebu1242
cgg,chig1238
chb,chib1270
chc,cata1286
chd,high1242
che,chec1245
chh,chin1286
chk,chuu1238
chl,cahu1264
cho,choc1276
chq,quio1240
chr,cher1273
chx,chan1310
chy,chey1247
cid,chim1301
cir,tiri1258
ciw,chip1241
cje,chru1239
cjh,uppe1439
cji,cham1309
cjm,east2563
cjo,ashe1273
cjp,cabe1245
cjs,shor1247
cjv,chua1250
ckf,kaqc1274
cks,tayo1238
cku,koas1236
cla,ronn1241
cld,chal1275
cle,leal1235
clh,chil1275
clk,idum1241
clm,clal1241
clo,lowl1260
clw,chul1246
cmi,embe1262
cng,nort2722
cnh,haka1240
cnk,khum1248
cnt,tepe1279
cob,chic1271
coc,coco1261
cod,coca1259
coe,kore1283
cof,colo1256
col,colu1241
com,coma1245
con,cofa1242
coo,como1259
cop,copt1239
cor,corn1251
cou,wame1240
coz,choc1279
cpa,pala1351
crc,lonw1238
crd,coeu1236
crg,mich1243
crh,crim1257
crk,plai1258
crn,elna1235
cro,crow1244
crs,sese1246
crt,iyoj1235
crw,chra1242
crx,carr1249
csb,kash1274
csh,asho1236
csi,coas1301
csk,jola1262
csl,chin1283
csm,cent2140
cso,soch1239
css,muts1243
csw,swam1239
csy,siyi1240
csz,coos1249
cta,tata1258
ctd,tedi1235
ctg,chit1275
ctm,chit1248
cto,embe1260
ctp,west2644
cua,cuaa1241
cub,cube1242
cuc,usil1237
cui,cuib1242
cul,culi1244
cup,cupe1243
cut,teut1235
cya,nopa1235
cyb,cayu1262
daa,dang1274
dai,dayy1236
daj,darf1239
dak,dako1258
dal,daha1245
dan,dani1285
dar,darg1241
dau,dars1235
dav,tait1250
dba,bang1363
dbj,idaa1241
dbl,dyir1250
ddj,jaru1254
ddo,dido1241
deg,dege1246
der,deor1238
des,desa1247
dgc,casi1235
dgz,daga1275
dhg,dhan1270
dhi,dhim1246
dhl,dhal1245
dhr,dhar1247
dhu,dhur1239
dhv,dehu1237
did,didi1258
dif,dier1241
dim,dime1235
dip,nort2815
diq,diml1238
dis,dima1251
div,dhiv1236
diz,ding1239
djd,djam1255
dji,djin1253
djj,djee1236
djk,ndyu1242
djm,jams1239
dju,kapr1245
dkx,maza1304
dlg,dolg1241
dma,duma1253
dmk,doma1260
dni,lowe1415
dny,deni1241
doc,nort2735
doo,dong1290
drl,darl1243
dru,ruka1240
dry,dara1250
dsb,lowe1385
dse,dutc1253
dsh,daas1238
dta,daur1238
duc,duna1248
dud,huns1239
duf,dumb1241
duj,dhuw1249
duo,dupa1235
dur,diii1241
dus,dumi1241
duu,drun1238
dyi,djim1235
dyy,dyaa1242
efi,efik1245
ega,egaa1242
eip,eipo1242
ekg,ekar1243
eko,koti1238
eky,east2342
emb,emba1238
eme,emer1243
emi,muss1246
eml,emil1243
emp,nort2972
ems,paci1278
enh,tund1254
eno,engg1245
enq,enga1252
erg,siee1239
erk,sout2856
ese,esee1248
esi,nort2943
esq,esse1238
ess,cent2128
est,
esu,cent2127
etr,edol1239
ets,yekh1238
evn,even1259
eya,eyak1241
faa,fasu1242
fap,palo1243
fcs,queb1245
fla,kali1308
foi,foii1241
for,fore1270
fos,sira1267
fqs,fass1245
frd,ford1242
frr,nort2626
frs,nort2628
fse,finn1310
fsl,fren1243
fud,east2447
fun,fuln1247
fut,futu1245
fuu,furu1242
fuv,nige1253
fvr,furr1244
fwa,fwai1237
gae,guar1293
gag,gaga1249
gah,alek1238
gax,bora1271
gay,gayo1244
gaz,west2721
gbb,kayt1238
gbc,garr1260
gbd,kara1476
gbi,gale1259
gbr,gbag1258
gbu,gaga1251
gcc,mali1284
gcd,gang1267
gcf,guad1242
gcr,guia1246
gdf,gudu1252
gdo,ghod1238
gdq,mehr1241
geb,kire1240
ged,gade1242
gey,enya1247
gfk,patp1243
ggd,guga1239
gge,gura1252
ggo,
ggw,gogo1265
ghl,ghul1238
ghs,guhu1244
gia,kitj1240
gid,gida1247
gil,gilb1244
gin,hinu1240
gio,gela1261
gis,nort3047
gkn,goka1239
gld,nana1257
glj,gula1265
glk,gila1241
glu,gula1269
