language_id,language_name,latitude,longitude,lineage
moya1235,Moyadan Itneg,17.4232,120.702,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, Kalinga-Itneg, Kalinga, Masadiit"
itza1241,Itzá,17.0269,270.1266,"Mayan, Core Mayan, Yucatecan, Mopan-Itza"
iumi1238,Iu Mien,20.83,101.17,"Hmong-Mien, Mienic, Mien-Mun"
ibat1238,Ibatan,18.9398,121.909,"Austronesian, Malayo-Polynesian, Batanic"
ivat1242,Itbayat,20.77,121.85,"Austronesian, Malayo-Polynesian, Batanic, Yami-Itbayat"
iwak1237,I-Wak,16.30448,120.78633,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Southern Cordilleran, West Southern Cordilleran, Nuclear Southern Cordilleran"
iwam1256,Iwam,-4.27346,141.817,"Sepik, Iwam-Wogamus, Iwamic"
iwur1240,Morop-Dintere,-5.11036,140.823,"Nuclear Trans New Guinea, Asmat-Awyu-Ok, Awyu-Ok, Ok-Oksapmin, Ok"
sepi1255,Sepik Iwam,-4.30928,142.117,"Sepik, Iwam-Wogamus, Iwamic"
ixca1245,Ixcatec,17.7597,262.8758,"Otomanguean, Eastern Otomanguean, Popoloca-Zapotecan, Popolocan-Mazatecan, Ixcatec-Chocho-Popolocan"
ixil1251,Ixil,15.4569,269.1065,"Mayan, Core Mayan, Quichean-Mamean, Greater Mamean, Ixilan"
iyay1238,Iyayu,7.30076,5.84326,"Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, Northwestern Edoid, Osse"
mesa1245,Mesaka,6.32679,9.8723,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid"
yaka1274,Yaka (Congo),-3.73301,13.3637,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, West-Coastal Bantu, Nzadic, Lweric, Dingic, Loange-Atlantic, Kwilu-Ngounie, Kasai-Ngounie, Moyen Kasai-Ngounie, Interior Kasai-Ngounie, West Kasai-Ngounie, Northwest Kasai-Ngounie, Nzebi-Laali-Yaa, Laali-Yaa"
